feature_name,feature_display_name
W_theta/alpha_min_O         ,"θ/α, min, O"
W_theta/alpha_mean_F        ,"θ/α, mean, F"
W_theta/alpha_mean_C        ,"θ/α, mean, C"
W_theta/alpha_mean_O        ,"θ/α, mean, O"
W_theta/alpha_std_F         ,"θ/α, std, F"
W_theta/alpha_std_C         ,"θ/α, std, C"
W_theta/alpha_std_O         ,"θ/α, std, O"
N1_mean_gradient_F3M2        ,"Gradient, mean, F3"
N1_mean_gradient_F4M1        ,"Gradient, mean, F4"
N1_mean_gradient_C3M2        ,"Gradient, mean, C3"
N1_mean_gradient_C4M1        ,"Gradient, mean, C4"
N1_mean_gradient_O1M2        ,"Gradient, mean, O1"
N1_mean_gradient_O2M1        ,"Gradient, mean, O2"
N1_kurtosis_F3M2             ,"kurtosis, F3"
N1_kurtosis_F4M1             ,"kurtosis, F4"
N1_kurtosis_C3M2             ,"kurtosis, C3"
N1_kurtosis_C4M1             ,"kurtosis, C4"
N1_kurtosis_O1M2             ,"kurtosis, O1"
N1_kurtosis_O2M1             ,"kurtosis, O2"
N1_delta_bandpower_max_F     ,"δ, bandpower, max, F"
N1_delta_bandpower_max_C     ,"δ, bandpower, max, C"
N1_delta_bandpower_max_O     ,"δ, bandpower, max, O"
N1_theta_bandpower_max_F     ,"θ, bandpower, max, F"
N1_theta_bandpower_max_C     ,"θ, bandpower, max, C"
N1_theta_bandpower_max_O     ,"θ, bandpower, max, O"
N1_alpha_bandpower_max_F     ,"α, bandpower, max, F"
N1_alpha_bandpower_max_C     ,"α, bandpower, max, C"
N1_alpha_bandpower_max_O     ,"α, bandpower, max, O"
N1_delta_bandpower_min_F     ,"δ, bandpower, min, F"
N1_delta_bandpower_min_C     ,"δ, bandpower, min, C"
N1_delta_bandpower_min_O     ,"δ, bandpower, min, O"
N1_theta_bandpower_min_F     ,"θ, bandpower, min, F"
N1_theta_bandpower_min_C     ,"θ, bandpower, min, C"
N1_theta_bandpower_min_O     ,"θ, bandpower, min, O"
N1_alpha_bandpower_min_F     ,"α, bandpower, min, F"
N1_alpha_bandpower_min_C     ,"α, bandpower, min, C"
N1_alpha_bandpower_min_O     ,"α, bandpower, min, O"
N1_delta_bandpower_mean_F    ,"δ, bandpower, mean, F"
N1_delta_bandpower_mean_C    ,"δ, bandpower, mean, C"
N1_delta_bandpower_mean_O    ,"δ, bandpower, mean, O"
N1_theta_bandpower_mean_F    ,"θ, bandpower, mean, F"
N1_theta_bandpower_mean_C    ,"θ, bandpower, mean, C"
N1_theta_bandpower_mean_O    ,"θ, bandpower, mean, O"
N1_alpha_bandpower_mean_F    ,"α, bandpower, mean, F"
N1_alpha_bandpower_mean_C    ,"α, bandpower, mean, C"
N1_alpha_bandpower_mean_O    ,"α, bandpower, mean, O"
N1_delta_bandpower_std_F     ,"δ, bandpower, std, F"
N1_delta_bandpower_std_C     ,"δ, bandpower, std, C"
N1_delta_bandpower_std_O     ,"δ, bandpower, std, O"
N1_theta_bandpower_std_F     ,"θ, bandpower, std, F"
N1_theta_bandpower_std_C     ,"θ, bandpower, std, C"
N1_theta_bandpower_std_O     ,"θ, bandpower, std, O"
N1_alpha_bandpower_std_F     ,"α, bandpower, std, F"
N1_alpha_bandpower_std_C     ,"α, bandpower, std, C"
N1_alpha_bandpower_std_O     ,"α, bandpower, std, O"
N1_delta_bandpower_kurtosis_F,"δ, bandpower, kurtosis, F"
N1_delta_bandpower_kurtosis_C,"δ, bandpower, kurtosis, C"
N1_delta_bandpower_kurtosis_O,"δ, bandpower, kurtosis, O"
N1_theta_bandpower_kurtosis_F,"θ, bandpower, kurtosis, F"
N1_theta_bandpower_kurtosis_C,"θ, bandpower, kurtosis, C"
N1_theta_bandpower_kurtosis_O,"θ, bandpower, kurtosis, O"
N1_alpha_bandpower_kurtosis_F,"α, bandpower, kurtosis, F"
N1_alpha_bandpower_kurtosis_C,"α, bandpower, kurtosis, C"
N1_alpha_bandpower_kurtosis_O,"α, bandpower, kurtosis, O"
N1_sigma_bandpower_kurtosis_F,"σ, bandpower, kurtosis, F"
N1_sigma_bandpower_kurtosis_C,"σ, bandpower, kurtosis, C"
N1_sigma_bandpower_kurtosis_O,"σ, bandpower, kurtosis, O"
N1_delta/theta_max_F         ,"δ/θ, max, F"
N1_delta/theta_max_C         ,"δ/θ, max, C"
N1_delta/theta_max_O         ,"δ/θ, max, O"
N1_delta/theta_min_F         ,"δ/θ, min, F"
N1_delta/theta_min_C         ,"δ/θ, min, C"
N1_delta/theta_min_O         ,"δ/θ, min, O"
N1_delta/theta_mean_F        ,"δ/θ, mean, F"
N1_delta/theta_mean_C        ,"δ/θ, mean, C"
N1_delta/theta_mean_O        ,"δ/θ, mean, O"
N1_delta/theta_std_F         ,"δ/θ, std, F"
N1_delta/theta_std_C         ,"δ/θ, std, C"
N1_delta/theta_std_O         ,"δ/θ, std, O"
N1_delta/alpha_max_F         ,"δ/α, max, F"
N1_delta/alpha_max_C         ,"δ/α, max, C"
N1_delta/alpha_max_O         ,"δ/α, max, O"
N1_delta/alpha_min_F         ,"δ/α, min, F"
N1_delta/alpha_min_C         ,"δ/α, min, C"
N1_delta/alpha_min_O         ,"δ/α, min, O"
N1_delta/alpha_mean_F        ,"δ/α, mean, F"
N1_delta/alpha_mean_C        ,"δ/α, mean, C"
N1_delta/alpha_mean_O        ,"δ/α, mean, O"
N1_delta/alpha_std_F         ,"δ/α, std, F"
N1_delta/alpha_std_C         ,"δ/α, std, C"
N1_delta/alpha_std_O         ,"δ/α, std, O"
N1_theta/alpha_max_F         ,"θ/α, max, F"
N1_theta/alpha_max_C         ,"θ/α, max, C"
N1_theta/alpha_max_O         ,"θ/α, max, O"
N1_theta/alpha_min_F         ,"θ/α, min, F"
N1_theta/alpha_min_C         ,"θ/α, min, C"
N1_theta/alpha_min_O         ,"θ/α, min, O"
N1_theta/alpha_mean_F        ,"θ/α, mean, F"
